,Neighborhood,LAT,LNG
0,بابا عمرو,34.70638888888889,36.68527777777778
1,البياضة,34.74916666666667,36.72805555555556
2,جورة الشياح,34.73638888888889,36.71083333333333
3,الخالدية,34.74027777777778,36.71888888888889
4,دير بعلبة,34.75055555555556,36.74444444444445
5,القصور,34.745,36.71055555555556
6,النزهة,34.71611111111111,36.71861111111111
7,الإنشاءات,34.72138888888889,36.69888888888889
8,باب تدمر,34.73027777777778,36.721944444444446
9,باب التركمان,34.725,36.7125
10,باب الدريب,34.72638888888889,36.721944444444446
11,باب السباع,34.72,36.71861111111111
12,باب هود,34.72666666666667,36.7125
13,بستان الديوان,34.724444444444444,36.714166666666664
14,بني السباعي,34.7275,36.71666666666667
15,التوزيع الإجباري,34.71888888888889,36.693888888888885
16,الجامعة,34.71222222222222,36.706944444444446
17,جب الجندلي,34.72611111111111,36.73111111111111
18,جوبر,34.70638888888889,36.68527777777778
19,الحمراء,34.7325,36.7
20,الحميدية,34.734722222222224,36.719166666666666
21,الخضر,34.719166666666666,36.71472222222222
22,الدبلان,34.730555555555554,36.7075
23,الزهراء,34.73222222222222,36.73277777777778
24,العدوية,34.718333333333334,36.721666666666664
25,عشيرة,36.61833333333333,37.37555555555556
26,عكرمة الجديدة,34.71277777777778,36.71611111111111
27,الغوطة,34.735277777777775,36.7025
28,القرابيص,34.73916666666667,36.706944444444446
29,كرم الزيتون,34.719166666666666,36.72611111111111
30,كرم الشامي,34.71944444444444,36.7075
31,كرم اللوز,34.71194444444444,36.724444444444444
32,المحطة,34.72416666666667,36.70666666666666
33,المخيم,36.19361111111111,36.696666666666665
34,الميدان,34.713055555555556,36.70944444444444
35,وادي الذهب,34.69638888888889,36.733333333333334
36,الورشة,34.72888888888889,36.723055555555554
37,الوعر الجديد,34.73861111111111,36.6725
38,الوعر القديم,34.73861111111111,36.6725
39,الغوطة,34.735277777777775,36.7025
40,الملعب,34.710277777777776,36.68361111111111
41,الحمرا,34.73277777777778,36.699444444444445
